127.0.0.1 - - [30/Sep/2017:19:31:41 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:04 -0300] "GET /finalproject/static/fonts/roboto/Roboto-Regular.woff2 HTTP/1.1" 200 64832
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:04 -0300] "GET /finalproject/static/fonts/roboto/Roboto-Medium.woff2 HTTP/1.1" 200 65412
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:04 -0300] "GET /finalproject/static/fonts/roboto/Roboto-Light.woff2 HTTP/1.1" 200 64268
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:04 -0300] "GET /finalproject/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:04 -0300] "GET /finalproject/login HTTP/1.1" 200 3079
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:04 -0300] "GET /finalproject/static/js/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:04 -0300] "GET /finalproject/static/css/custom-css.css HTTP/1.1" 200 25356
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:04 -0300] "GET /finalproject/static/js/materialize.js HTTP/1.1" 200 326348
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:04 -0300] "GET /finalproject/static/css/materialize.css HTTP/1.1" 200 164236
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:04 -0300] "GET /finalproject/static/images/default/logo.png HTTP/1.1" 200 33690
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:04 -0300] "GET /finalproject/static/fonts/roboto/Roboto-Light.woff2 HTTP/1.1" 200 64268
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:04 -0300] "GET /finalproject/static/images/default/login-background.jpg HTTP/1.1" 200 893307
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:04 -0300] "GET /finalproject/static/fonts/roboto/Roboto-Regular.woff2 HTTP/1.1" 200 64832
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:05 -0300] "GET /finalproject/login HTTP/1.1" 200 3079
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:05 -0300] "GET /finalproject/static/css/custom-css.css HTTP/1.1" 200 25356
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:05 -0300] "GET /finalproject/static/js/materialize.js HTTP/1.1" 200 326348
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:05 -0300] "GET /finalproject/static/js/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:05 -0300] "GET /finalproject/static/css/materialize.css HTTP/1.1" 200 164236
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:05 -0300] "GET /finalproject/static/fonts/roboto/Roboto-Light.woff2 HTTP/1.1" 200 64268
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:05 -0300] "GET /finalproject/static/images/default/logo.png HTTP/1.1" 200 33690
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:05 -0300] "GET /finalproject/static/images/default/login-background.jpg HTTP/1.1" 200 893307
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:05 -0300] "GET /finalproject/static/fonts/roboto/Roboto-Regular.woff2 HTTP/1.1" 200 64832
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:06 -0300] "GET /finalproject/login HTTP/1.1" 200 3079
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:06 -0300] "GET /finalproject/static/css/materialize.css HTTP/1.1" 200 164236
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:06 -0300] "GET /finalproject/static/js/materialize.js HTTP/1.1" 200 326348
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:06 -0300] "GET /finalproject/static/css/custom-css.css HTTP/1.1" 200 25356
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:06 -0300] "GET /finalproject/static/js/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:06 -0300] "GET /finalproject/static/fonts/roboto/Roboto-Light.woff2 HTTP/1.1" 200 64268
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:06 -0300] "GET /finalproject/static/images/default/logo.png HTTP/1.1" 200 33690
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:06 -0300] "GET /finalproject/static/images/default/login-background.jpg HTTP/1.1" 200 893307
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:06 -0300] "GET /finalproject/static/fonts/roboto/Roboto-Regular.woff2 HTTP/1.1" 200 64832
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:10 -0300] "POST /finalproject/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:10 -0300] "GET /finalproject/ HTTP/1.1" 200 13310
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:10 -0300] "GET /finalproject/static/js/materialize.js HTTP/1.1" 200 326348
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:10 -0300] "GET /finalproject/static/css/materialize.css HTTP/1.1" 200 164236
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:10 -0300] "GET /finalproject/static/css/custom-css.css HTTP/1.1" 200 25356
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:10 -0300] "GET /finalproject/static/js/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:10 -0300] "GET /finalproject/static/js/menu.js HTTP/1.1" 200 1126
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:10 -0300] "GET /finalproject/static/images/default/logo.png HTTP/1.1" 200 33690
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:10 -0300] "GET /finalproject/static/js/Chart.js HTTP/1.1" 200 484055
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:10 -0300] "GET /finalproject/static/images/avatar/renanchagasw/renanchagasw.png HTTP/1.1" 200 1217747
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:10 -0300] "GET /finalproject/static/fonts/roboto/Roboto-Regular.woff2 HTTP/1.1" 200 64832
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:10 -0300] "GET /finalproject/static/fonts/roboto/Roboto-Medium.woff2 HTTP/1.1" 200 65412
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:10 -0300] "GET /finalproject/static/fonts/roboto/Roboto-Light.woff2 HTTP/1.1" 200 64268
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:10 -0300] "GET /finalproject/static/fonts/roboto/Roboto-Bold.woff2 HTTP/1.1" 200 64800
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:11 -0300] "GET /finalproject/static/css/custom-css.css HTTP/1.1" 200 25356
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:11 -0300] "GET /finalproject/static/css/materialize.css HTTP/1.1" 200 164236
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:11 -0300] "GET /finalproject/static/js/materialize.js HTTP/1.1" 200 326348
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:11 -0300] "GET /finalproject/static/js/menu.js HTTP/1.1" 200 1126
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:11 -0300] "GET /finalproject/static/js/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:11 -0300] "GET /finalproject/static/fonts/roboto/Roboto-Light.woff2 HTTP/1.1" 200 64268
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:11 -0300] "GET /finalproject/static/images/default/logo.png HTTP/1.1" 200 33690
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:11 -0300] "GET /finalproject/static/fonts/roboto/Roboto-Bold.woff2 HTTP/1.1" 200 64800
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:11 -0300] "GET /finalproject/static/images/default/projects/checklist.png HTTP/1.1" 200 11266
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:11 -0300] "GET /finalproject/static/images/default/projects/web.png HTTP/1.1" 200 11155
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:11 -0300] "GET /finalproject/static/fonts/roboto/Roboto-Regular.woff2 HTTP/1.1" 200 64832
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:11 -0300] "GET /finalproject/static/fonts/roboto/Roboto-Medium.woff2 HTTP/1.1" 200 65412
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:11 -0300] "GET /finalproject/projects HTTP/1.1" 200 10399
0:0:0:0:0:0:0:1 - - [30/Sep/2017:21:25:11 -0300] "GET /finalproject/static/images/avatar/renanchagasw/renanchagasw.png HTTP/1.1" 200 1217747
